Data/Hora;Tipo da nuvem da primeira camada;Dire«ı«úo do Vento (0-360);Veloc. do Vento (m/s);Alt. da base das nuvens na primeira camada (m);Cobertura de nuvens da camada mais restrita(%);Cobertura de nuvens da primeira camada (oitavos);Press«úo reduzida ao n«vel do mar - QNH( hPa);Temp. do ar (C);Temp. do Ponto de Orvalho (C);Visibilidade horizontal (m) (acima de 10000m VV=10000);"Tempo Presente (Tabela 020003) <a href=""http://bancodedados.cptec.inpe.br/~rbanco/bdm/tabela_bufr_20003.pdf"">Detalhes</a>"
01/04/2018 00:00;0.0;230.0;0.51;76.0;6.0;1.968.504;1015.93;20.0;20.0;10000.0;61.0
01/04/2018 01:00;0.0;100.0;1.54;0.0;0.0;0.0;1016.94;20.0;20.0;10000.0;0.0
01/04/2018 02:00;0.0;50.0;1.03;0.0;0.0;0.0;1015.93;20.0;20.0;10000.0;0.0
01/04/2018 03:00;0.0;40.0;2.06;0.0;0.0;0.0;1015.93;20.0;20.0;10000.0;0.0
01/04/2018 04:00;0.0;0.0;0.0;0.0;0.0;0.0;1014.91;20.0;20.0;10000.0;0.0
01/04/2018 05:00;0.0;60.0;1.03;0.0;0.0;0.0;1014.91;20.0;20.0;10000.0;0.0
01/04/2018 06:00;0.0;0.0;0.0;0.0;0.0;0.0;1013.89;20.0;20.0;10000.0;0.0
01/04/2018 07:00;0.0;340.0;2.06;0.0;0.0;0.0;1012.88;20.0;19.0;10000.0;0.0
01/04/2018 08:00;0.0;20.0;1.54;0.0;0.0;0.0;1012.88;20.0;20.0;10000.0;0.0
01/04/2018 09:00;0.0;70.0;1.03;0.0;0.0;0.0;1013.89;20.0;20.0;10000.0;0.0
01/04/2018 10:00;0.0;0.0;0.0;0.0;0.0;0.0;1014.91;20.0;20.0;10000.0;0.0
01/04/2018 11:00;0.0;20.0;3.09;0.0;0.0;0.0;1014.91;22.0;20.0;10000.0;0.0
01/04/2018 12:00;0.0;340.0;3.09;0.0;0.0;0.0;1015.93;23.0;20.0;10000.0;0.0
01/04/2018 13:00;0.0;360.0;3.6;0.0;0.0;0.0;1015.93;24.0;20.0;10000.0;0.0
01/04/2018 14:00;0.0;320.0;5.15;0.0;0.0;0.0;1014.91;27.0;20.0;10000.0;0.0
01/04/2018 15:00;0.0;310.0;5.66;306.0;6.0;1.968.504;1014.91;26.0;20.0;10000.0;0.0
