Data/Hora;Tipo da nuvem da primeira camada;Dire«ı«úo do Vento (0-360);Veloc. do Vento (m/s);Alt. da base das nuvens na primeira camada (m);Cobertura de nuvens da camada mais restrita(%);Cobertura de nuvens da primeira camada (oitavos);Press«úo reduzida ao n«vel do mar - QNH( hPa);Temp. do ar (C);Temp. do Ponto de Orvalho (C);Visibilidade horizontal (m) (acima de 10000m VV=10000);"Tempo Presente (Tabela 020003) <a href=""http://bancodedados.cptec.inpe.br/~rbanco/bdm/tabela_bufr_20003.pdf"">Detalhes</a>"
01/01/2018 00:00;0.0;340.0;1.03;0.0;0.0;0.0;1009.15;27.0;22.0;10000.0;0.0
01/01/2018 01:00;0.0;330.0;1.54;402.0;3.0;984.252;1009.15;27.0;23.0;10000.0;0.0
01/01/2018 02:00;0.0;0.0;0.0;0.0;0.0;0.0;1009.15;26.0;23.0;10000.0;0.0
01/01/2018 03:00;0.0;110.0;1.03;406.0;3.0;984.252;1009.15;25.0;23.0;10000.0;0.0
01/01/2018 04:00;0.0;340.0;1.54;0.0;0.0;0.0;1008.14;25.0;24.0;10000.0;0.0
01/01/2018 05:00;0.0;360.0;1.54;402.0;6.0;1.968.504;1008.14;25.0;24.0;10000.0;0.0
01/01/2018 06:00;0.0;350.0;2.06;402.0;6.0;1.968.504;1007.12;25.0;24.0;10000.0;0.0
01/01/2018 07:00;0.0;350.0;2.06;402.0;6.0;1.968.504;1008.14;25.0;25.0;8000.0;0.0
01/01/2018 08:00;0.0;0.0;0.0;0.0;0.0;0.0;1008.14;24.0;23.0;4010.0;10.0
01/01/2018 09:00;0.0;150.0;2.57;0.0;0.0;0.0;1009.15;24.0;23.0;4010.0;10.0
01/01/2018 10:00;0.0;160.0;2.57;0.0;0.0;0.0;1009.15;27.0;23.0;9000.0;0.0
01/01/2018 11:00;0.0;140.0;3.09;0.0;0.0;0.0;1010.17;29.0;24.0;10000.0;0.0
01/01/2018 12:00;0.0;140.0;3.6;0.0;0.0;0.0;1010.17;30.0;24.0;10000.0;0.0
01/01/2018 13:00;0.0;160.0;3.6;0.0;0.0;0.0;1010.17;31.0;24.0;10000.0;0.0
01/01/2018 14:00;0.0;150.0;4.63;256.0;2.0;656.168;1009.15;31.0;24.0;10000.0;0.0
01/01/2018 15:00;0.0;150.0;4.63;256.0;2.0;656.168;1009.15;32.0;24.0;10000.0;0.0
01/01/2018 16:00;0.0;140.0;4.12;306.0;2.0;656.168;1009.15;32.0;23.0;10000.0;0.0
01/01/2018 17:00;0.0;160.0;5.66;306.0;2.0;656.168;1008.14;33.0;23.0;10000.0;0.0
01/01/2018 18:00;0.0;160.0;5.66;256.0;2.0;656.168;1007.12;32.0;24.0;10000.0;0.0
01/01/2018 19:00;2.0;160.0;6.69;256.0;2.0;656.168;1007.12;30.0;24.0;10000.0;0.0
01/01/2018 20:00;2.0;170.0;6.18;306.0;3.0;984.252;1007.12;27.0;24.0;10000.0;0.0
01/01/2018 21:00;0.0;170.0;5.66;353.0;6.0;1.968.504;1007.12;27.0;24.0;10000.0;0.0
01/01/2018 22:00;0.0;170.0;4.12;206.0;6.0;1.968.504;1008.14;27.0;24.0;10000.0;0.0
01/01/2018 23:00;0.0;180.0;2.57;0.0;0.0;0.0;1009.15;26.0;23.0;10000.0;0.0
