,ICAO Empresa Aérea,Número Voo,Situação Voo,Atraso,Hora Partida,Dia Mês,Mês,Dia Semana,Tipo da nuvem da primeira camada,DireÇõÇo do Vento (0-360),Veloc. do Vento (m/s),Alt. da base das nuvens na primeira camada (m),Cobertura de nuvens da camada mais restrita(%),PressÇo reduzida ao nÇðvel do mar - QNH( hPa),Temp. do ar (C),Temp. do Ponto de Orvalho (C),Visibilidade horizontal (m) (acima de 10000m VV=10000),"Tempo Presente (Tabela 020003) <a href=""http://bancodedados.cptec.inpe.br/~rbanco/bdm/tabela_bufr_20003.pdf"">Detalhes</a>"
0,AZU,2400,REALIZADO,21,6.25,1,Janeiro,Segunda,0.0,330.0,2.57,173.0,6.0,1013.89,21.0,20.0,10000.0,0.0
1,GLO,1076,REALIZADO,0,8.083333333333334,1,Janeiro,Segunda,0.0,310.0,2.06,156.0,2.0,1013.89,20.0,20.0,10000.0,0.0
2,TAM,4605,REALIZADO,0,8.666666666666666,1,Janeiro,Segunda,0.0,310.0,2.06,156.0,2.0,1013.89,20.0,20.0,10000.0,0.0
3,GLO,1078,REALIZADO,0,10.25,1,Janeiro,Segunda,0.0,310.0,4.63,172.0,3.0,1013.89,22.0,20.0,10000.0,0.0
4,AZU,2402,REALIZADO,-3,13.75,1,Janeiro,Segunda,0.0,330.0,5.15,173.0,6.0,1014.91,24.0,20.0,10000.0,0.0
5,GLO,1082,REALIZADO,0,14.583333333333334,1,Janeiro,Segunda,0.0,300.0,4.12,213.0,6.0,1014.91,25.0,20.0,10000.0,0.0
6,GLO,1084,REALIZADO,21,17.416666666666668,1,Janeiro,Segunda,0.0,320.0,5.66,302.0,3.0,1012.88,27.0,21.0,10000.0,0.0
7,GLO,1086,REALIZADO,0,18.416666666666668,1,Janeiro,Segunda,0.0,320.0,5.15,302.0,3.0,1012.88,28.0,21.0,10000.0,0.0
8,GLO,1088,REALIZADO,0,19.416666666666668,1,Janeiro,Segunda,0.0,300.0,6.18,352.0,3.0,1010.85,28.0,20.0,10000.0,0.0
9,AZU,5016,REALIZADO,0,20.083333333333332,1,Janeiro,Segunda,0.0,310.0,4.12,382.0,3.0,1010.85,28.0,21.0,10000.0,0.0
10,GLO,1090,REALIZADO,27,21.083333333333332,1,Janeiro,Segunda,0.0,320.0,3.09,362.0,3.0,1010.85,28.0,21.0,10000.0,0.0
11,AZU,2400,REALIZADO,-4,6.25,2,Janeiro,Terca,0.0,300.0,1.03,0.0,0.0,1010.85,22.0,20.0,10000.0,0.0
12,GLO,1076,REALIZADO,0,8.083333333333334,2,Janeiro,Terca,0.0,340.0,2.06,236.0,2.0,1010.85,22.0,20.0,10000.0,0.0
13,TAM,4605,REALIZADO,24,8.666666666666666,2,Janeiro,Terca,0.0,340.0,2.06,236.0,2.0,1010.85,22.0,20.0,10000.0,0.0
14,GLO,1078,REALIZADO,13,10.25,2,Janeiro,Terca,0.0,330.0,3.6,256.0,2.0,1010.85,24.0,21.0,10000.0,0.0
15,AZU,2402,REALIZADO,0,13.75,2,Janeiro,Terca,0.0,320.0,7.21,303.0,6.0,1010.85,26.0,21.0,10000.0,0.0
16,GLO,1084,REALIZADO,0,17.416666666666668,2,Janeiro,Terca,2.0,270.0,4.12,302.0,6.0,1009.15,24.0,22.0,10000.0,0.0
17,GLO,1086,REALIZADO,24,18.416666666666668,2,Janeiro,Terca,0.0,320.0,5.66,302.0,6.0,1008.14,27.0,22.0,10000.0,0.0
18,GLO,1088,REALIZADO,0,19.416666666666668,2,Janeiro,Terca,0.0,310.0,4.63,0.0,0.0,1008.14,28.0,21.0,10000.0,0.0
19,AZU,5016,REALIZADO,-11,20.083333333333332,2,Janeiro,Terca,0.0,310.0,5.15,302.0,6.0,1008.14,27.0,21.0,10000.0,0.0
20,GLO,1090,REALIZADO,34,21.083333333333332,2,Janeiro,Terca,0.0,310.0,4.12,302.0,3.0,1008.14,27.0,21.0,10000.0,0.0
21,AZU,2400,REALIZADO,-3,6.25,3,Janeiro,Quarta,0.0,330.0,5.66,172.0,3.0,1007.12,22.0,20.0,10000.0,0.0
22,GLO,1076,REALIZADO,34,8.083333333333334,3,Janeiro,Quarta,0.0,300.0,5.66,173.0,6.0,1008.14,22.0,20.0,10000.0,61.0
23,TAM,4605,REALIZADO,0,8.666666666666666,3,Janeiro,Quarta,0.0,300.0,5.66,173.0,6.0,1008.14,22.0,20.0,10000.0,61.0
24,GLO,1078,REALIZADO,0,10.25,3,Janeiro,Quarta,0.0,320.0,5.15,203.0,6.0,1010.17,22.0,20.0,10000.0,0.0
25,AZU,2402,REALIZADO,0,13.75,3,Janeiro,Quarta,0.0,310.0,4.12,136.0,6.0,1010.85,23.0,20.0,8000.0,0.0
26,GLO,1084,REALIZADO,0,17.416666666666668,3,Janeiro,Quarta,0.0,290.0,3.6,263.0,6.0,1010.17,26.0,20.0,10000.0,0.0
27,GLO,1086,REALIZADO,19,18.416666666666668,3,Janeiro,Quarta,0.0,260.0,2.57,262.0,6.0,1009.15,26.0,21.0,10000.0,0.0
28,GLO,1088,REALIZADO,0,19.416666666666668,3,Janeiro,Quarta,0.0,230.0,4.12,203.0,6.0,1010.17,22.0,22.0,5010.0,61.0
29,AZU,5016,REALIZADO,30,20.083333333333332,3,Janeiro,Quarta,0.0,260.0,1.54,106.0,6.0,0.0,21.0,21.0,2990.0,61.0
30,GLO,1090,REALIZADO,38,21.083333333333332,3,Janeiro,Quarta,0.0,150.0,2.57,113.0,6.0,1010.85,21.0,21.0,5010.0,61.0
31,AZU,2400,REALIZADO,29,6.25,4,Janeiro,Quinta,0.0,150.0,1.03,202.0,6.0,1013.89,18.0,18.0,10000.0,0.0
32,GLO,1076,REALIZADO,75,8.083333333333334,4,Janeiro,Quinta,0.0,110.0,1.03,0.0,0.0,1014.91,18.0,18.0,10000.0,0.0
33,TAM,4605,REALIZADO,0,8.666666666666666,4,Janeiro,Quinta,0.0,110.0,1.03,0.0,0.0,1014.91,18.0,18.0,10000.0,0.0
34,GLO,1078,REALIZADO,0,10.25,4,Janeiro,Quinta,0.0,60.0,2.57,0.0,0.0,1015.93,20.0,18.0,10000.0,0.0
35,AZU,2402,REALIZADO,0,13.75,4,Janeiro,Quinta,0.0,90.0,4.12,0.0,0.0,1016.94,24.0,14.0,10000.0,0.0
36,GLO,1082,REALIZADO,0,14.583333333333334,4,Janeiro,Quinta,0.0,100.0,4.12,0.0,0.0,1016.94,26.0,14.0,10000.0,0.0
37,GLO,1084,REALIZADO,0,17.416666666666668,4,Janeiro,Quinta,0.0,100.0,5.15,0.0,0.0,1014.91,28.0,15.0,10000.0,0.0
38,GLO,1086,REALIZADO,0,18.416666666666668,4,Janeiro,Quinta,0.0,130.0,4.12,0.0,0.0,1014.91,28.0,15.0,10000.0,0.0
39,GLO,1088,REALIZADO,0,19.416666666666668,4,Janeiro,Quinta,0.0,150.0,5.15,0.0,0.0,1014.91,27.0,16.0,10000.0,0.0
40,AZU,5016,REALIZADO,-13,20.083333333333332,4,Janeiro,Quinta,0.0,130.0,5.15,0.0,0.0,1014.91,26.0,15.0,10000.0,0.0
41,GLO,1090,REALIZADO,0,21.083333333333332,4,Janeiro,Quinta,0.0,130.0,4.63,0.0,0.0,1014.91,24.0,16.0,10000.0,0.0
42,AZU,2400,REALIZADO,-11,6.25,5,Janeiro,Sexta,0.0,80.0,2.06,0.0,0.0,1015.93,17.0,16.0,10000.0,0.0
43,GLO,1076,REALIZADO,0,8.083333333333334,5,Janeiro,Sexta,0.0,70.0,3.09,0.0,0.0,1015.93,17.0,16.0,10000.0,0.0
44,TAM,4605,REALIZADO,0,8.666666666666666,5,Janeiro,Sexta,0.0,70.0,3.09,0.0,0.0,1015.93,17.0,16.0,10000.0,0.0
45,GLO,1078,REALIZADO,0,10.25,5,Janeiro,Sexta,0.0,70.0,4.12,116.0,2.0,1016.94,19.0,18.0,10000.0,0.0
46,AZU,2402,REALIZADO,0,13.75,5,Janeiro,Sexta,0.0,70.0,3.09,176.0,2.0,1016.94,23.0,19.0,10000.0,0.0
47,GLO,1082,REALIZADO,0,14.583333333333334,5,Janeiro,Sexta,0.0,30.0,2.57,176.0,2.0,1016.94,25.0,19.0,10000.0,0.0
